timestamp,artist,track,album,source,duration_seconds
#Add your data here 
2026-02-27T01:13:17.877896,Rogue Wave,When Sunday Morning Comes,,SomaFM Indie Pop,180
2026-02-27T01:15:44.114009,Flock Of Dimes,Long After Midnight,,SomaFM Indie Pop,180
2026-02-27T01:18:32.874652,Beths,Mosquitoes,,SomaFM Indie Pop,180
2026-02-27T01:22:51.652647,Jay Som,What You Need,,SomaFM Indie Pop,180
2026-02-27T01:26:36.632764,Yumi Zouma,Haji Awali,,SomaFM Indie Pop,180
2026-02-27T01:29:14.105876,Out Lines,Buried Guns,,SomaFM Indie Pop,180
2026-02-27T01:34:17.870899,Dear Boy,Wanderlow,,SomaFM Indie Pop,180
2026-02-27T01:37:51.631938,Rose Of The West,Feast Or Famine (Elise's Radio Edit),,SomaFM Indie Pop,180
2026-02-27T01:40:51.640624,Dizzy,Close,,SomaFM Indie Pop,180
2026-02-27T01:43:40.369038,Explosions In The Sky,The Ecstatics,,SomaFM Indie Pop,180
2026-02-27T01:46:29.106839,"Sin Fang, Soley & Oervar Smarason",Go To Sleep Boy,,SomaFM Indie Pop,180
2026-02-27T01:51:44.361145,Elf Power,Too Many Things In My Hands,,SomaFM Indie Pop,180
2026-02-27T01:53:25.600609,Decemberists,"Los Angeles, I'm Yours",,SomaFM Indie Pop,180
2026-02-27T01:57:33.102346,Courtney Barnett,Lotta Love,,SomaFM Indie Pop,180
2026-02-27T01:59:59.344920,Fleece,So Much Better Now,,SomaFM Indie Pop,180
2026-02-27T02:03:33.117163,Hide And Shine,The Ones Left Behind,,SomaFM Indie Pop,180
2026-02-27T02:07:40.586323,Teen Daze,First Rain,,SomaFM Indie Pop,180
2026-02-27T02:11:25.607232,My Morning Jacket,Just One Thing,,SomaFM Indie Pop,180
2026-02-27T02:14:36.843510,NewDad,Change My Mind,,SomaFM Indie Pop,180
2026-02-27T02:18:10.587756,"xx, The",Teardrops,,SomaFM Indie Pop,180
2026-02-27T02:21:55.595505,Radical Face,Aftermath,,SomaFM Indie Pop,180
2026-02-27T02:26:03.104714,Pinback,Non Photo Blue,,SomaFM Indie Pop,180
2026-02-27T02:29:36.849431,Literature,"Court, Date",,SomaFM Indie Pop,180
2026-02-27T02:32:03.108535,Frightened Rabbit,Break,,SomaFM Indie Pop,180
2026-02-27T02:34:51.845391,Magnetic Fields,Too Drunk To Dream,,SomaFM Indie Pop,180
2026-02-27T02:37:51.843936,+/,(Plus Minus) - Borrowed Time,,SomaFM Indie Pop,180
2026-02-27T02:41:14.347916,Blonde Redhead,Before (Radio Edit),,SomaFM Indie Pop,180
2026-02-27T02:44:36.844317,Snuggle,Sticks,,SomaFM Indie Pop,180
2026-02-27T02:47:25.584114,Walkmen,The Love You Love,,SomaFM Indie Pop,180
2026-02-27T02:50:25.597297,Pixies,Magdalena,,SomaFM Indie Pop,180
2026-02-27T02:53:48.119843,Throwing Muses,South Coast,,SomaFM Indie Pop,180
2026-02-27T02:57:21.844831,Camera Obscura,Big Love,,SomaFM Indie Pop,180
2026-02-27T03:00:10.583572,Cate Le Bon,Heaven Is No Feeling,,SomaFM Indie Pop,180
2026-02-27T03:03:44.346909,Papercuts,A Peculiar Hallelujah,,SomaFM Indie Pop,180
2026-02-27T03:06:44.342327,Shins,Plenty Is Never Enough,,SomaFM Indie Pop,180
2026-02-27T03:09:44.345526,Kopecky,Burnin',,SomaFM Indie Pop,180
2026-02-27T03:14:03.119122,Built To Spill,Horizon To Cliff,,SomaFM Indie Pop,180
2026-02-27T03:16:29.347473,Rachel Bobbitt,Hush,,SomaFM Indie Pop,180
2026-02-27T03:20:03.105845,Maia Friedman,Russian Blue,,SomaFM Indie Pop,180
2026-02-27T03:22:40.583687,Mary Onettes,Slide,,SomaFM Indie Pop,180
2026-02-27T03:26:14.349561,Nada Surf,Out Of The Dark,,SomaFM Indie Pop,180
